index,artist,colors,convertedManaCost,flavorText,hasFoil,hasNonFoil,loyalty,manaCost,manaValue,mtgjsonV4Id,multiverseId,name,number,Price (Dollars),power,rarity,setCode,subtypes,text,toughness,types
31654,Even Amundsen,W,4,"""These storied halls are under my protection.""",1,1,,{3}{W},4,a3cb413a-409f-53a1-b913-9a1055f39628,447147,Dwarven Priest,11,$0.01 ,2,common,M19,"Dwarf,Cleric","When Dwarven Priest enters the battlefield, you gain 1 life for each creature you control.",4,Creature
31655,Craig J Spearing,W,4,"""Our duty does not stop at our borders.""",1,1,,{3}{W},4,c521edaf-df1e-5bb2-8a87-4aff1719d86f,447148,Gallant Cavalry,12,$0.04 ,2,common,M19,"Human,Knight","Vigilance (Attacking doesn't cause this creature to tap.)
When Gallant Cavalry enters the battlefield, create a 2/2 white Knight creature token with vigilance.",2,Creature
31656,Tommy Arnold,W,5,The clerics prayed for salvation. The soldiers prayed for victory. Both prayers were answered.,1,1,,{3}{W}{W},5,201fc784-8f42-50c1-a297-fe6e5396163b,447149,Herald of Faith,13,$0.10 ,4,uncommon,M19,Angel,"Flying
Whenever Herald of Faith attacks, you gain 2 life.",3,Creature
31657,Jason Rainville,W,4,Law protects but also contains.,1,1,,{3}{W},4,0c36cf37-8a4a-5ea9-86b9-d677647d8522,447150,Hieromancer's Cage,14,$0.07 ,,uncommon,M19,,"When Hieromancer's Cage enters the battlefield, exile target nonland permanent an opponent controls until Hieromancer's Cage leaves the battlefield.",,Enchantment
31658,Wayne Reynolds,W,4,"""Impossible! How could they overwhelm us? We had barricades, war elephants, … and they were barely a tenth of our number!""
—General Avitora",1,1,,{2}{W}{W},4,e49a4912-23b2-5881-81a1-99e006bda5d2,447151,Inspired Charge,15,$0.01 ,,common,M19,,Creatures you control get +2/+1 until end of turn.,,Instant
31659,Magali Villeneuve,W,3,"""Let go of all that harms you. Cast your burdens into the darkness, and build for the faithful a house of light.""
—*Song of All*, canto 1008",1,1,,{2}{W},3,54fe4816-e60c-5a2a-9b04-1f5db120ec27,447152,Invoke the Divine,16,$0.02 ,,common,M19,,Destroy target artifact or enchantment. You gain 4 life.,,Instant
31660,Victor Adame Minguez,W,1,"Threefold were his crimes, doubled were his pleas, singular was his fate.",1,1,,{W},1,71b3dfa3-b706-5640-94db-c25ed55f5186,447153,Isolate,17,$0.18 ,,rare,M19,,Exile target permanent with mana value 1.,,Instant
31661,Jesper Ejsing,W,6,"""Horse? Who needs a horse?""",1,1,,{4}{W}{W},6,07e75ffd-3233-5767-b290-392dc29b49d6,447154,Knight of the Tusk,18,$0.01 ,3,common,M19,"Human,Knight",Vigilance (Attacking doesn't cause this creature to tap.),7,Creature
31662,Magali Villeneuve,W,2,"""As long as my faith persists, so shall I.""",1,1,,{1}{W},2,9100768b-fcbd-53b7-bd8a-0daf9d9013d0,447155,Knight's Pledge,19,$0.02 ,,common,M19,Aura,"Enchant creature
Enchanted creature gets +2/+2.",,Enchantment
31663,Matt Stewart,W,5,,1,1,,{4}{W},5,f84b163e-a55b-51e5-be6e-a34bb0c28b6b,447156,Knightly Valor,20,$0.02 ,,uncommon,M19,Aura,"Enchant creature
When Knightly Valor enters the battlefield, create a 2/2 white Knight creature token with vigilance. (Attacking doesn't cause it to tap.)
Enchanted creature gets +2/+2 and has vigilance.",,Enchantment
31664,Lucas Graciano,W,6,"""Those who do evil and those who do nothing are equally worthy of contempt.""",1,1,,{4}{W}{W},6,b8fb2444-4ae6-5b7c-a5dc-494019d66fa5,447157,"Lena, Selfless Champion",21,$0.18 ,3,rare,M19,"Human,Knight","When Lena, Selfless Champion enters the battlefield, create a 1/1 white Soldier creature token for each nontoken creature you control.
Sacrifice Lena: Creatures you control with power less than Lena's power gain indestructible until end of turn.",3,Creature
31665,Aaron Miller,W,1,The best fighters are skilled in both harming and healing.,1,1,,{W},1,0e86c219-d1ae-5d21-b1d6-a3e464f986d8,447158,Leonin Vanguard,22,$0.16 ,1,uncommon,M19,"Cat,Soldier","At the beginning of combat on your turn, if you control three or more creatures, Leonin Vanguard gets +1/+1 until end of turn and you gain 1 life.",1,Creature
31666,Jakub Kasper,W,4,"When one leonin hunts, many more are surely nearby.",1,1,,{2}{W}{W},4,19595809-77ba-502e-bb8d-bca3f66ff596,447159,Leonin Warleader,23,$6.43 ,4,rare,M19,"Cat,Soldier","Whenever Leonin Warleader attacks, create two 1/1 white Cat creature tokens with lifelink that are tapped and attacking.",4,Creature
31667,Jesper Ejsing,W,3,"Loxodons are firm in stature and spirit. No matter the odds, they are always first into battle.",1,1,,{2}{W},3,0efe2587-8b29-5733-9f6a-e3ff69a64ac2,447160,Loxodon Line Breaker,24,$0.01 ,3,common,M19,"Elephant,Soldier",,2,Creature
31668,Steve Argyle,W,3,"""Your part in this fight is done, vampire. Get used to your thirst.""",1,1,,{2}{W},3,1ca6c9b6-a70e-5387-af84-aff156b6b1e3,447161,Luminous Bonds,25,$0.01 ,,common,M19,Aura,"Enchant creature
Enchanted creature can't attack or block.",,Enchantment
31669,Magali Villeneuve,W,3,"For a moment they stood tall, all fear forgotten.",1,1,,{2}{W},3,f0c52e67-b9f8-56b4-871a-6f806c3ee088,447162,Make a Stand,26,$0.22 ,,uncommon,M19,,"Creatures you control get +1/+0 and gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",,Instant
31670,Jana Schirmer & Johannes Voss,W,3,"""In these halls there is no pass or fail. Your true test comes with the first full moon.""",1,1,,{2}{W},3,5f977ba1-bd5f-53ba-831e-86dadf35c265,447163,Mentor of the Meek,27,$0.56 ,2,rare,M19,"Human,Soldier","Whenever another creature with power 2 or less enters the battlefield under your control, you may pay {1}. If you do, draw a card.",2,Creature
31671,Sidharth Chaturvedi,W,2,"""I feel the presence of the God-Pharaoh in the Second Sun, and I rise upon its rays.""",1,1,,{1}{W},2,4ddc2113-5134-5d5d-a8ba-c9dd3966528c,447164,Mighty Leap,28,$0.01 ,,common,M19,,Target creature gets +2/+2 and gains flying until end of turn.,,Instant
31672,David Gaillet,W,3,,1,1,,{2}{W},3,6057393a-289e-5df8-85b7-27bd6ae7a98d,447165,Militia Bugler,29,$0.09 ,2,uncommon,M19,"Human,Soldier","Vigilance (Attacking doesn't cause this creature to tap.)
When Militia Bugler enters the battlefield, look at the top four cards of your library. You may reveal a creature card with power 2 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",3,Creature
31673,Yongjae Choi,W,1,Even the greatest hero begins with nothing.,1,1,,{W},1,8fe8121f-fa28-5f30-b4c0-cebf64f020b5,447166,Novice Knight,30,$0.20 ,2,uncommon,M19,"Human,Knight","Defender (This creature can't attack.)
As long as Novice Knight is enchanted or equipped, it can attack as though it didn't have defender.",3,Creature
31674,James Ryman,W,2,The leonin of Oreskos are quick to take offense—not because they are thin-skinned but because they are always ready for a fight.,1,1,,{1}{W},2,ef78230d-cebf-5648-b7e2-0d2e1556b4f5,447167,Oreskos Swiftclaw,31,$0.01 ,3,common,M19,"Cat,Warrior",,1,Creature
31675,Mathias Kollros,W,3,"A pegasus chooses its rider, bearing the worthy into the clouds and tossing all others to the ground.",1,1,,{2}{W},3,3936ba56-80b4-5ee2-8a66-11cf7c8593a3,447168,Pegasus Courser,32,$0.01 ,1,common,M19,Pegasus,"Flying
Whenever Pegasus Courser attacks, another target attacking creature gains flying until end of turn.",3,Creature
31676,Grzegorz Rutkowski,W,2,A lifetime of keeping up appearances is not enough to earn an eternity of rest.,1,1,,{1}{W},2,c500d92f-896b-5440-b56a-6bfcd48c8fc3,447169,Remorseful Cleric,33,$0.15 ,2,rare,M19,"Spirit,Cleric","Flying
Sacrifice Remorseful Cleric: Exile target player's graveyard.",1,Creature
31677,Volkan Baǵa,W,3,,1,1,,{1}{W}{W},3,9d37e9b2-9a07-53ad-adf1-1619c6fbf520,447170,Resplendent Angel,34,$22.31 ,3,mythic,M19,Angel,"Flying
At the beginning of each end step, if you gained 5 or more life this turn, create a 4/4 white Angel creature token with flying and vigilance.
{3}{W}{W}{W}: Until end of turn, Resplendent Angel gets +2/+2 and gains lifelink.",3,Creature
31678,Matt Stewart,W,2,"""A potion is no substitute for a skilled surgeon, but it will hold your bits in.""
—Torricks, battlefield medic",1,1,,{1}{W},2,97c1f074-5d68-5b1f-bf87-8c189272ddb1,447171,Revitalize,35,$0.04 ,,common,M19,,"You gain 3 life.
Draw a card.",,Instant
31679,Paul Scott Canavan,W,1,"Native to wide prairies and scrublands, falcons occasionally roost in dragon skeletons.",1,1,,{W},1,b7ee9957-ad2c-5e02-bd0e-a4ba9598fde6,447172,Rustwing Falcon,36,$0.09 ,1,common,M19,Bird,Flying,2,Creature
31680,Lucas Graciano,W,3,"When it passes, order defeats chaos.",1,1,,{1}{W}{W},3,809a03ff-b694-5a0d-95d0-ede74c69261e,447173,Shield Mare,37,$0.07 ,2,uncommon,M19,Horse,"Shield Mare can't be blocked by red creatures.
When Shield Mare enters the battlefield or becomes the target of a spell or ability an opponent controls, you gain 3 life.",3,Creature
31681,Jonathan Kuo,W,4,"White as starlight on snow, it appears only on the eve of the winter solstice.",1,1,,{3}{W},4,30da711d-e618-57b0-be9f-10f843c79ee5,447174,Star-Crowned Stag,38,$0.01 ,3,common,M19,Elk,"Whenever Star-Crowned Stag attacks, tap target creature defending player controls.",3,Creature
31682,Mark Zug,W,2,,1,1,,{1}{W},2,f54cc8b5-79c1-5851-ad79-729978a8830d,447175,Suncleanser,39,$0.16 ,1,rare,M19,"Human,Cleric","When Suncleanser enters the battlefield, choose one —
• Remove all counters from target creature. It can't have counters put on it for as long as Suncleanser remains on the battlefield.
• Target opponent loses all counters. That player can't get counters for as long as Suncleanser remains on the battlefield.",4,Creature
31683,Randy Vargas,W,2,"""Your death will be a balm, your passing a welcome revision, and all will sigh with peace to know of your demise.""",1,1,,{1}{W},2,53fc9523-adba-5f33-985b-3ef13fdc637c,447176,Take Vengeance,40,$0.02 ,,common,M19,,Destroy target tapped creature.,,Sorcery
31684,John Stanko,W,3,"""Margaret has traveled with me to the end of the world and back.""
—Hewen Frit, merchant",1,1,,{2}{W},3,f22577fb-5ab9-51c4-9e5c-539e1662a64c,447177,Trusty Packbeast,41,$0.01 ,2,common,M19,Beast,"When Trusty Packbeast enters the battlefield, return target artifact card from your graveyard to your hand.",3,Creature
31685,Jakub Kasper,W,4,"""Defeat is no reason for retreat. It is a sign we must redouble our efforts to win this fight.""",1,1,,{3}{W},4,dfb2bde9-7de3-5540-9b22-f15b741c06af,447178,Valiant Knight,42,$0.42 ,3,rare,M19,"Human,Knight","Other Knights you control get +1/+1.
{3}{W}{W}: Knights you control gain double strike until end of turn.",4,Creature
31686,Lucas Graciano,U,2,"If you can't find a doorway, make one.",1,1,,{1}{U},2,3d7a2aa1-b6ab-5adb-b1a6-71847c3c7fe4,447179,Aether Tunnel,43,$0.25 ,,uncommon,M19,Aura,"Enchant creature
Enchanted creature gets +1/+0 and can't be blocked.",,Enchantment
31687,Tyler Jacobson,U,2,Divining the future is easy when you hold the power to sway it.,1,1,,{1}{U},2,0eecae0b-344b-5a22-8ca5-6d6abbbac82a,447180,Anticipate,44,$0.02 ,,common,M19,,Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.,,Instant
31688,Lius Lasahido,U,3,"""My skill sharpens with each beat of my wings.""",1,1,,{2}{U},3,4e07c856-4205-5e7a-bf4d-b71abaadc648,447181,Aven Wind Mage,45,$0.01 ,2,common,M19,"Bird,Wizard","Flying
Whenever you cast an instant or sorcery spell, Aven Wind Mage gets +1/+1 until end of turn.",2,Creature
31689,Lake Hurwitz,U,3,"""They say perfection is unattainable, but they said that about flight too.""",1,1,,{2}{U},3,81606692-5630-5fda-8ea7-d0a26629f866,447182,Aviation Pioneer,46,$0.02 ,1,common,M19,"Human,Artificer","When Aviation Pioneer enters the battlefield, create a 1/1 colorless Thopter artifact creature token with flying.",2,Creature
31690,Clint Cearley,U,4,"""I can think of worse ways to go. On second thought, maybe not.""
—Ludevic, necro-alchemist",1,1,,{2}{U}{U},4,2dfe2299-74b8-595b-8407-3ce583e6a664,447183,Bone to Ash,47,$0.04 ,,uncommon,M19,,"Counter target creature spell.
Draw a card.",,Instant
31691,Mathias Kollros,U,3,"""I decide what stands in my way.""",1,1,,{1}{U}{U},3,75c8495d-304c-54ad-973f-35082f0e5f2d,447184,Cancel,48,$0.05 ,,common,M19,,Counter target spell.,,Instant
31692,Zoltan Boros,U,2,,1,1,,{1}{U},2,ca1612db-df17-58b1-bf27-da9e644e61a8,447185,Departed Deckhand,49,$0.15 ,2,uncommon,M19,"Spirit,Pirate","When Departed Deckhand becomes the target of a spell, sacrifice it.
Departed Deckhand can't be blocked except by Spirits.
{3}{U}: Another target creature you control can't be blocked this turn except by Spirits.",2,Creature
31693,Ryan Yee,U,2,It's pointless to hold on when you have nothing to hold on with.,1,1,,{1}{U},2,c6b1b5c5-c235-5ff1-bccb-de9a2f24d5d4,447186,Disperse,50,$0.02 ,,common,M19,,Return target nonland permanent to its owner's hand.,,Instant
31694,Willian Murai,U,3,"""The stars mark your destiny. May you accept the fate thus divulged.""",1,1,,{2}{U},3,9e27eac6-7bfc-5ffd-b2ea-484cfe616beb,447187,Divination,51,$0.05 ,,common,M19,,Draw two cards.,,Sorcery
31695,Kev Walker,U,5,,1,1,,{3}{U}{U},5,d6b6970b-1b51-5b71-88cd-3b5bf7ddce7c,447188,Djinn of Wishes,52,$0.09 ,4,rare,M19,Djinn,"Flying
Djinn of Wishes enters the battlefield with three wish counters on it.
{2}{U}{U}, Remove a wish counter from Djinn of Wishes: Reveal the top card of your library. You may play that card without paying its mana cost. If you don't, exile it.",4,Creature
31696,Ryan Pancoast,U,3,"The collection didn't have room to expand, so the wizard improvised a solution.",1,1,,{2}{U},3,21ec0a0e-0a4a-508c-884a-71d2704d7f4d,447189,Dwindle,53,$0.02 ,,common,M19,Aura,"Enchant creature
Enchanted creature gets -6/-0.
When enchanted creature blocks, destroy it. (The attacking creature remains blocked.)",,Enchantment
31697,Josh Hass,U,2,Dependence on luck is anathema to Kefnet's rigorous studies. Those who hope to escape his maze by chance never succeed.,1,1,,{1}{U},2,0e46be56-493d-5fae-816f-e92f4a92066f,447190,Essence Scatter,54,$0.04 ,,common,M19,,Counter target creature spell.,,Instant
31698,Chris Seaman,U,3,Successful battles start with knowing who's worth fighting.,1,1,,{2}{U},3,83320a82-60e2-5d2e-96ce-9fb3e84d27bb,447191,Exclusion Mage,55,$0.13 ,2,uncommon,M19,"Human,Wizard","When Exclusion Mage enters the battlefield, return target creature an opponent controls to its owner's hand.",2,Creature
31699,Steven Belledin,U,6,"""Reel it in. No, wait! Throw it back!""
—Gertrude, deep-sea angler",1,1,,{4}{U}{U},6,9efdf823-a734-51bf-9383-1beb071f9cfb,447192,Frilled Sea Serpent,56,$0.01 ,4,common,M19,Serpent,{5}{U}{U}: Frilled Sea Serpent can't be blocked this turn.,6,Creature
31700,Deruchenko Alexander,U,1,Young artificers on Kaladesh let their imaginations run wild.,1,1,,{U},1,a0cc2283-c50a-5eb7-ba58-ca2bb0c953cb,447193,Gearsmith Prodigy,57,$0.01 ,1,common,M19,"Human,Artificer",Gearsmith Prodigy gets +1/+0 as long as you control an artifact.,2,Creature
31701,Scott Chou,U,2,"""Picking locks is for beginners.""",1,1,,{1}{U},2,9c39753c-7327-55eb-8fd1-82442e0905d9,447194,Ghostform,58,$0.01 ,,common,M19,,Up to two target creatures can't be blocked this turn.,,Sorcery
31702,Karl Kopinski,U,6,,1,1,,{5}{U},6,c65dc409-8bdb-5737-95fe-a0d52de10073,447195,Horizon Scholar,59,$0.08 ,4,uncommon,M19,Sphinx,"Flying
When Horizon Scholar enters the battlefield, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",4,Creature
31703,Livia Prima,U,2,,1,1,,{1}{U},2,61bbbc40-bc59-56b8-b454-ef598933eff8,447196,Metamorphic Alteration,60,$0.22 ,,rare,M19,Aura,"Enchant creature
As Metamorphic Alteration enters the battlefield, choose a creature.
Enchanted creature is a copy of the chosen creature.",,Enchantment
31704,Randy Vargas,U,3,The life of a shapeshifter is one of constant change.,1,1,,{2}{U},3,7d34614d-8619-5bc2-b124-a1654ff6c39d,447197,Mirror Image,61,$0.46 ,0,uncommon,M19,Shapeshifter,You may have Mirror Image enter the battlefield as a copy of a creature you control.,0,Creature
31705,Ryan Yee,U,1,Hospitality is of little concern to those who do not wish to be disturbed.,1,1,,{U},1,ecd5bda4-2b5e-59ec-bfcf-af7146ae5a61,447198,Mistcaller,62,$0.20 ,1,rare,M19,"Merfolk,Wizard","Sacrifice Mistcaller: Until end of turn, if a nontoken creature would enter the battlefield and it wasn't cast, exile it instead.",1,Creature
31706,Eric Deschamps,U,2,The delight of discovery drives the pursuit of knowledge.,1,1,,{1}{U},2,28437cb0-6634-505a-815e-a7e5035c5674,447199,Mystic Archaeologist,63,$0.09 ,2,rare,M19,"Human,Wizard",{3}{U}{U}: Draw two cards.,1,Creature
31707,Dallas Williams,U,2,Her prophecies amaze her even as she speaks them.,1,1,,{1}{U},2,2b8630cd-5a7f-5905-9ff9-f92a53c6c283,447200,Omenspeaker,64,$0.06 ,1,common,M19,"Human,Wizard","When Omenspeaker enters the battlefield, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",3,Creature
31708,Jason Chan,U,10,"""The things I once imagined would be my greatest achievements were only the first steps toward a future I can only begin to fathom.""
—Jace Beleren",1,1,,{7}{U}{U}{U},10,fb04cfee-152f-5c33-a938-bd20db88ff23,447201,Omniscience,65,$13.43 ,,mythic,M19,,You may cast spells from your hand without paying their mana costs.,,Enchantment
31709,Chase Stone,U,4,"""When I grafted the Planar Bridge into myself, I felt my Planeswalker spark flare beyond my body. The Multiverse was my plaything. It felt . . . incredible.""
—Tezzeret",1,1,,{3}{U},4,b0ef7fe8-8433-5b1f-be87-fe5f786c8ede,447202,One with the Machine,66,$0.32 ,,rare,M19,,Draw cards equal to the highest mana value among artifacts you control.,,Sorcery
31710,Magali Villeneuve,U,5,Nicol Bolas would not rest until he was restored to his former glory.,1,1,,{3}{U}{U},5,65a89059-85ff-5f47-937c-8bf43a2e2f50,447203,Patient Rebuilding,67,$0.47 ,,rare,M19,,"At the beginning of your upkeep, target opponent mills three cards, then you draw a card for each land card put into their graveyard this way.",,Enchantment
31711,Bastien L. Deharme,U,3,"""To break another's mind is to deliver a fate worse than death. It is a terrifying power.""
—Jace Beleren",1,1,,{2}{U},3,256c1dab-0d6f-5134-b4f6-35ea7d975376,447204,Psychic Corrosion,68,$2.28 ,,uncommon,M19,,"Whenever you draw a card, each opponent mills two cards.",,Enchantment
31712,Adam Paquette,U,3,"""Industry without artistry is just a fancy way to fill the junkyard.""",1,1,,{2}{U},3,b37329f5-9fd2-538e-bdbf-c15787a8f6ba,447205,"Sai, Master Thopterist",69,$3.31 ,1,rare,M19,"Human,Artificer","Whenever you cast an artifact spell, create a 1/1 colorless Thopter artifact creature token with flying.
{1}{U}, Sacrifice two artifacts: Draw a card.",4,Creature
31713,Lars Grant-West,U,5,The greatest treasure of the deep is an echo from above.,1,1,,{3}{U}{U},5,3cc87011-3a60-558f-9422-a24c764fc5e4,447206,Salvager of Secrets,70,$0.13 ,2,common,M19,"Merfolk,Wizard","When Salvager of Secrets enters the battlefield, return target instant or sorcery card from your graveyard to your hand.",2,Creature
31714,Tommy Arnold,U,4,"""The path of the stars is as reliable as the instruments that measure them.""",1,1,,{3}{U},4,7d9bcfb8-e29c-5143-b9c7-d2ba86fc6cb5,447207,Scholar of Stars,71,$0.02 ,3,common,M19,"Human,Artificer","When Scholar of Stars enters the battlefield, if you control an artifact, draw a card.",2,Creature
31715,Jeremy Jarvis,U,4,Dwell longest on the thoughts that shine brightest.,1,1,,{3}{U},4,df9bb25a-83d0-538f-b436-ed2f911be7f1,447208,Sift,72,$0.05 ,,uncommon,M19,,"Draw three cards, then discard a card.",,Sorcery
31716,Jason A. Engle,U,3,,1,1,,{2}{U},3,00e51520-f020-51dc-98e3-35fcfde28150,447209,Skilled Animator,73,$0.07 ,1,uncommon,M19,"Human,Artificer","When Skilled Animator enters the battlefield, target artifact you control becomes an artifact creature with base power and toughness 5/5 for as long as Skilled Animator remains on the battlefield.",3,Creature
31717,Chris Rahn,U,4,"""I give them dreams so wondrous that they hesitate to return to the world of the conscious.""
—Garild, merfolk mage",1,1,,{2}{U}{U},4,0513833e-7956-5ccd-ba14-1bde5b50d86f,447210,Sleep,74,$0.18 ,,uncommon,M19,,Tap all creatures target player controls. Those creatures don't untap during that player's next untap step.,,Sorcery
31718,Todd Lockwood,U,4,"Foul-tempered, poorly trained, and mule-stubborn, the drake is the perfect test of the master's will.",1,1,,{3}{U},4,358b497f-8772-560f-902a-dd7777311203,447211,Snapping Drake,75,$0.02 ,3,common,M19,Drake,Flying (This creature can't be blocked except by creatures with flying or reach.),2,Creature
31719,Robbie Trevino,U,2,A king's knowledge does not vanish when the heart stops beating.,1,1,,{1}{U},2,c43d90fa-8c3f-5b21-9c97-38385521a89a,447212,Supreme Phantom,76,$0.25 ,1,rare,M19,Spirit,"Flying
Other Spirits you control get +1/+1.",3,Creature
31720,Sam Rowan,U,2,"When it passes, waves touch the sky.",1,1,,{U}{U},2,629db29e-baa9-5bd2-b247-fbbf8e7b594c,447213,Surge Mare,77,$0.06 ,0,uncommon,M19,"Horse,Fish","Surge Mare can't be blocked by green creatures.
Whenever Surge Mare deals damage to an opponent, you may draw a card. If you do, discard a card.
{1}{U}: Surge Mare gets +2/-2 until end of turn.",5,Creature
31721,Kev Walker,U,5,Say hello to your new friend.,1,1,,{4}{U},5,74c6e359-0227-5985-aa55-d6701701a7b4,447214,Switcheroo,78,$0.07 ,,uncommon,M19,,Exchange control of two target creatures.,,Sorcery
31722,Josh Hass,U,5,,1,1,5,{3}{U}{U},5,d6b0cca8-6cce-515d-bf83-8e63b4c47b31,447215,"Tezzeret, Artifice Master",79,$8.86 ,,mythic,M19,Tezzeret,"[+1]: Create a 1/1 colorless Thopter artifact creature token with flying.
[0]: Draw a card. If you control three or more artifacts, draw two cards instead.
[−9]: You get an emblem with ""At the beginning of your end step, search your library for a permanent card, put it onto the battlefield, then shuffle.""",,Planeswalker
31723,Sara Winters,U,3,The Tolarian Academies embrace a tradition of study and research while discouraging the kinds of experiments that ruined the original island of Tolaria.,1,1,,{2}{U},3,e97247ff-9e7c-574d-b107-5fd455368546,447216,Tolarian Scholar,80,$0.01 ,2,common,M19,"Human,Wizard",,3,Creature
31724,David Palumbo,U,5,Fblthp had always hated crowds.,1,1,,{4}{U},5,32d393c1-615c-58e8-8f95-a5a86ddd8c8b,447217,Totally Lost,81,$0.02 ,,common,M19,,Put target nonland permanent on top of its owner's library.,,Instant
31725,Izzy,U,3,The cold slowed their movements until only their panicked eyeballs swiveled beneath the ice.,1,1,,{2}{U},3,57af9759-2d41-5d7f-a4d4-3f552454b3de,447218,Uncomfortable Chill,82,$0.01 ,,common,M19,,"Creatures your opponents control get -2/-0 until end of turn.
Draw a card.",,Instant
31726,Dimitar Marinski,U,2,The seafloor is flecked with the bones of fools who dared to sail into the mist.,1,1,,{1}{U},2,d3238e9b-6343-5399-a4f4-77353a27407e,447219,Wall of Mist,83,$0.04 ,0,common,M19,Wall,Defender,5,Creature
31727,Min Yum,U,7,"""Your mind is too filled with foolish concerns to hear the subtle whispers that the breeze brings.""",1,1,,{5}{U}{U},7,199cfdb6-8451-5079-afb5-5759a36db0a7,447220,Windreader Sphinx,84,$0.28 ,3,rare,M19,Sphinx,"Flying
Whenever a creature with flying attacks, you may draw a card.",7,Creature
31728,Tomasz Jedruszek,B,2,Tenacity prevails when hopes die.,1,1,,{1}{B},2,85c09af2-ef8b-5625-817c-574dbeedf89f,447221,Abnormal Endurance,85,$0.11 ,,common,M19,,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control.""",,Instant
