cn,artist,cardindex,colors,convertedManaCost,flavor_text,loyalty,manaCost,manaValue,mtgjsonV4Id,multiverseId,name,power,Price (Dollars),rarity,rules_text,setCode,subtypes,toughness,types
16,Magali Villeneuve,31659,W,3,"""Let go of all that harms you. Cast your burdens into the darkness, and build for the faithful a house of light.""
â€”*Song of All*, canto 1008",,{2}{W},3,54fe4816-e60c-5a2a-9b04-1f5db120ec27,447152,Invoke the Divine,,0.02,common,Destroy target artifact or enchantment. You gain 4 life.,M19,,,Instant
17,Victor Adame Minguez,31660,W,1,"Threefold were his crimes, doubled were his pleas, singular was his fate.",,{W},1,71b3dfa3-b706-5640-94db-c25ed55f5186,447153,Isolate,,0.18,rare,Exile target permanent with mana value 1.,M19,,,Instant
18,Jesper Ejsing,31661,W,6,"""Horse? Who needs a horse?""",,{4}{W}{W},6,07e75ffd-3233-5767-b290-392dc29b49d6,447154,Knight of the Tusk,3,0.01,common,Vigilance (Attacking doesn't cause this creature to tap.),M19,"Human,Knight",7,Creature
19,Magali Villeneuve,31662,W,2,"""As long as my faith persists, so shall I.""",,{1}{W},2,9100768b-fcbd-53b7-bd8a-0daf9d9013d0,447155,Knight's Pledge,,0.02,common,"Enchant creature
Enchanted creature gets +2/+2.",M19,Aura,,Enchantment
20,Matt Stewart,31663,W,5,,,{4}{W},5,f84b163e-a55b-51e5-be6e-a34bb0c28b6b,447156,Knightly Valor,,0.02,uncommon,"Enchant creature
When Knightly Valor enters the battlefield, create a 2/2 white Knight creature token with vigilance. (Attacking doesn't cause it to tap.)
Enchanted creature gets +2/+2 and has vigilance.",M19,Aura,,Enchantment
21,Lucas Graciano,31664,W,6,"""Those who do evil and those who do nothing are equally worthy of contempt.""",,{4}{W}{W},6,b8fb2444-4ae6-5b7c-a5dc-494019d66fa5,447157,"Lena, Selfless Champion",3,0.18,rare,"When Lena, Selfless Champion enters the battlefield, create a 1/1 white Soldier creature token for each nontoken creature you control.
Sacrifice Lena: Creatures you control with power less than Lena's power gain indestructible until end of turn.",M19,"Human,Knight",3,Creature
22,Aaron Miller,31665,W,1,The best fighters are skilled in both harming and healing.,,{W},1,0e86c219-d1ae-5d21-b1d6-a3e464f986d8,447158,Leonin Vanguard,1,0.16,uncommon,"At the beginning of combat on your turn, if you control three or more creatures, Leonin Vanguard gets +1/+1 until end of turn and you gain 1 life.",M19,"Cat,Soldier",1,Creature
23,Jakub Kasper,31666,W,4,"When one leonin hunts, many more are surely nearby.",,{2}{W}{W},4,19595809-77ba-502e-bb8d-bca3f66ff596,447159,Leonin Warleader,4,6.43,rare,"Whenever Leonin Warleader attacks, create two 1/1 white Cat creature tokens with lifelink that are tapped and attacking.",M19,"Cat,Soldier",4,Creature
24,Jesper Ejsing,31667,W,3,"Loxodons are firm in stature and spirit. No matter the odds, they are always first into battle.",,{2}{W},3,0efe2587-8b29-5733-9f6a-e3ff69a64ac2,447160,Loxodon Line Breaker,3,0.01,common,,M19,"Elephant,Soldier",2,Creature
25,Steve Argyle,31668,W,3,"""Your part in this fight is done, vampire. Get used to your thirst.""",,{2}{W},3,1ca6c9b6-a70e-5387-af84-aff156b6b1e3,447161,Luminous Bonds,,0.01,common,"Enchant creature
Enchanted creature can't attack or block.",M19,Aura,,Enchantment
26,Magali Villeneuve,31669,W,3,"For a moment they stood tall, all fear forgotten.",,{2}{W},3,f0c52e67-b9f8-56b4-871a-6f806c3ee088,447162,Make a Stand,,0.22,uncommon,"Creatures you control get +1/+0 and gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",M19,,,Instant
27,Jana Schirmer & Johannes Voss,31670,W,3,"""In these halls there is no pass or fail. Your true test comes with the first full moon.""",,{2}{W},3,5f977ba1-bd5f-53ba-831e-86dadf35c265,447163,Mentor of the Meek,2,0.56,rare,"Whenever another creature with power 2 or less enters the battlefield under your control, you may pay {1}. If you do, draw a card.",M19,"Human,Soldier",2,Creature
28,Sidharth Chaturvedi,31671,W,2,"""I feel the presence of the God-Pharaoh in the Second Sun, and I rise upon its rays.""",,{1}{W},2,4ddc2113-5134-5d5d-a8ba-c9dd3966528c,447164,Mighty Leap,,0.01,common,Target creature gets +2/+2 and gains flying until end of turn.,M19,,,Instant
29,David Gaillet,31672,W,3,,,{2}{W},3,6057393a-289e-5df8-85b7-27bd6ae7a98d,447165,Militia Bugler,2,0.09,uncommon,"Vigilance (Attacking doesn't cause this creature to tap.)
When Militia Bugler enters the battlefield, look at the top four cards of your library. You may reveal a creature card with power 2 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",M19,"Human,Soldier",3,Creature
30,Yongjae Choi,31673,W,1,Even the greatest hero begins with nothing.,,{W},1,8fe8121f-fa28-5f30-b4c0-cebf64f020b5,447166,Novice Knight,2,0.20,uncommon,"Defender (This creature can't attack.)
As long as Novice Knight is enchanted or equipped, it can attack as though it didn't have defender.",M19,"Human,Knight",3,Creature
31,James Ryman,31674,W,2,The leonin of Oreskos are quick to take offenseâ€”not because they are thin-skinned but because they are always ready for a fight.,,{1}{W},2,ef78230d-cebf-5648-b7e2-0d2e1556b4f5,447167,Oreskos Swiftclaw,3,0.01,common,,M19,"Cat,Warrior",1,Creature
32,Mathias Kollros,31675,W,3,"A pegasus chooses its rider, bearing the worthy into the clouds and tossing all others to the ground.",,{2}{W},3,3936ba56-80b4-5ee2-8a66-11cf7c8593a3,447168,Pegasus Courser,1,0.01,common,"Flying
Whenever Pegasus Courser attacks, another target attacking creature gains flying until end of turn.",M19,Pegasus,3,Creature
33,Grzegorz Rutkowski,31676,W,2,A lifetime of keeping up appearances is not enough to earn an eternity of rest.,,{1}{W},2,c500d92f-896b-5440-b56a-6bfcd48c8fc3,447169,Remorseful Cleric,2,0.15,rare,"Flying
Sacrifice Remorseful Cleric: Exile target player's graveyard.",M19,"Spirit,Cleric",1,Creature
34,Volkan BaÇµa,31677,W,3,,,{1}{W}{W},3,9d37e9b2-9a07-53ad-adf1-1619c6fbf520,447170,Resplendent Angel,3,22.31,mythic,"Flying
At the beginning of each end step, if you gained 5 or more life this turn, create a 4/4 white Angel creature token with flying and vigilance.
{3}{W}{W}{W}: Until end of turn, Resplendent Angel gets +2/+2 and gains lifelink.",M19,Angel,3,Creature
35,Matt Stewart,31678,W,2,"""A potion is no substitute for a skilled surgeon, but it will hold your bits in.""
â€”Torricks, battlefield medic",,{1}{W},2,97c1f074-5d68-5b1f-bf87-8c189272ddb1,447171,Revitalize,,0.04,common,"You gain 3 life.
Draw a card.",M19,,,Instant
36,Paul Scott Canavan,31679,W,1,"Native to wide prairies and scrublands, falcons occasionally roost in dragon skeletons.",,{W},1,b7ee9957-ad2c-5e02-bd0e-a4ba9598fde6,447172,Rustwing Falcon,1,0.09,common,Flying,M19,Bird,2,Creature
37,Lucas Graciano,31680,W,3,"When it passes, order defeats chaos.",,{1}{W}{W},3,809a03ff-b694-5a0d-95d0-ede74c69261e,447173,Shield Mare,2,0.07,uncommon,"Shield Mare can't be blocked by red creatures.
When Shield Mare enters the battlefield or becomes the target of a spell or ability an opponent controls, you gain 3 life.",M19,Horse,3,Creature
38,Jonathan Kuo,31681,W,4,"White as starlight on snow, it appears only on the eve of the winter solstice.",,{3}{W},4,30da711d-e618-57b0-be9f-10f843c79ee5,447174,Star-Crowned Stag,3,0.01,common,"Whenever Star-Crowned Stag attacks, tap target creature defending player controls.",M19,Elk,3,Creature
39,Mark Zug,31682,W,2,,,{1}{W},2,f54cc8b5-79c1-5851-ad79-729978a8830d,447175,Suncleanser,1,0.16,rare,"When Suncleanser enters the battlefield, choose one â€”
â€¢ Remove all counters from target creature. It can't have counters put on it for as long as Suncleanser remains on the battlefield.
â€¢ Target opponent loses all counters. That player can't get counters for as long as Suncleanser remains on the battlefield.",M19,"Human,Cleric",4,Creature
40,Randy Vargas,31683,W,2,"""Your death will be a balm, your passing a welcome revision, and all will sigh with peace to know of your demise.""",,{1}{W},2,53fc9523-adba-5f33-985b-3ef13fdc637c,447176,Take Vengeance,,0.02,common,Destroy target tapped creature.,M19,,,Sorcery
41,John Stanko,31684,W,3,"""Margaret has traveled with me to the end of the world and back.""
â€”Hewen Frit, merchant",,{2}{W},3,f22577fb-5ab9-51c4-9e5c-539e1662a64c,447177,Trusty Packbeast,2,0.01,common,"When Trusty Packbeast enters the battlefield, return target artifact card from your graveyard to your hand.",M19,Beast,3,Creature
42,Jakub Kasper,31685,W,4,"""Defeat is no reason for retreat. It is a sign we must redouble our efforts to win this fight.""",,{3}{W},4,dfb2bde9-7de3-5540-9b22-f15b741c06af,447178,Valiant Knight,3,0.42,rare,"Other Knights you control get +1/+1.
{3}{W}{W}: Knights you control gain double strike until end of turn.",M19,"Human,Knight",4,Creature
43,Lucas Graciano,31686,U,2,"If you can't find a doorway, make one.",,{1}{U},2,3d7a2aa1-b6ab-5adb-b1a6-71847c3c7fe4,447179,Aether Tunnel,,0.25,uncommon,"Enchant creature
Enchanted creature gets +1/+0 and can't be blocked.",M19,Aura,,Enchantment
44,Tyler Jacobson,31687,U,2,Divining the future is easy when you hold the power to sway it.,,{1}{U},2,0eecae0b-344b-5a22-8ca5-6d6abbbac82a,447180,Anticipate,,0.02,common,Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.,M19,,,Instant
45,Lius Lasahido,31688,U,3,"""My skill sharpens with each beat of my wings.""",,{2}{U},3,4e07c856-4205-5e7a-bf4d-b71abaadc648,447181,Aven Wind Mage,2,0.01,common,"Flying
Whenever you cast an instant or sorcery spell, Aven Wind Mage gets +1/+1 until end of turn.",M19,"Bird,Wizard",2,Creature
46,Lake Hurwitz,31689,U,3,"""They say perfection is unattainable, but they said that about flight too.""",,{2}{U},3,81606692-5630-5fda-8ea7-d0a26629f866,447182,Aviation Pioneer,1,0.02,common,"When Aviation Pioneer enters the battlefield, create a 1/1 colorless Thopter artifact creature token with flying.",M19,"Human,Artificer",2,Creature
47,Clint Cearley,31690,U,4,"""I can think of worse ways to go. On second thought, maybe not.""
â€”Ludevic, necro-alchemist",,{2}{U}{U},4,2dfe2299-74b8-595b-8407-3ce583e6a664,447183,Bone to Ash,,0.04,uncommon,"Counter target creature spell.
Draw a card.",M19,,,Instant
48,Mathias Kollros,31691,U,3,"""I decide what stands in my way.""",,{1}{U}{U},3,75c8495d-304c-54ad-973f-35082f0e5f2d,447184,Cancel,,0.05,common,Counter target spell.,M19,,,Instant
49,Zoltan Boros,31692,U,2,,,{1}{U},2,ca1612db-df17-58b1-bf27-da9e644e61a8,447185,Departed Deckhand,2,0.15,uncommon,"When Departed Deckhand becomes the target of a spell, sacrifice it.
Departed Deckhand can't be blocked except by Spirits.
{3}{U}: Another target creature you control can't be blocked this turn except by Spirits.",M19,"Spirit,Pirate",2,Creature
50,Ryan Yee,31693,U,2,It's pointless to hold on when you have nothing to hold on with.,,{1}{U},2,c6b1b5c5-c235-5ff1-bccb-de9a2f24d5d4,447186,Disperse,,0.02,common,Return target nonland permanent to its owner's hand.,M19,,,Instant
51,Willian Murai,31694,U,3,"""The stars mark your destiny. May you accept the fate thus divulged.""",,{2}{U},3,9e27eac6-7bfc-5ffd-b2ea-484cfe616beb,447187,Divination,,0.05,common,Draw two cards.,M19,,,Sorcery
52,Kev Walker,31695,U,5,,,{3}{U}{U},5,d6b6970b-1b51-5b71-88cd-3b5bf7ddce7c,447188,Djinn of Wishes,4,0.09,rare,"Flying
Djinn of Wishes enters the battlefield with three wish counters on it.
{2}{U}{U}, Remove a wish counter from Djinn of Wishes: Reveal the top card of your library. You may play that card without paying its mana cost. If you don't, exile it.",M19,Djinn,4,Creature
53,Ryan Pancoast,31696,U,3,"The collection didn't have room to expand, so the wizard improvised a solution.",,{2}{U},3,21ec0a0e-0a4a-508c-884a-71d2704d7f4d,447189,Dwindle,,0.02,common,"Enchant creature
Enchanted creature gets -6/-0.
When enchanted creature blocks, destroy it. (The attacking creature remains blocked.)",M19,Aura,,Enchantment
54,Josh Hass,31697,U,2,Dependence on luck is anathema to Kefnet's rigorous studies. Those who hope to escape his maze by chance never succeed.,,{1}{U},2,0e46be56-493d-5fae-816f-e92f4a92066f,447190,Essence Scatter,,0.04,common,Counter target creature spell.,M19,,,Instant
55,Chris Seaman,31698,U,3,Successful battles start with knowing who's worth fighting.,,{2}{U},3,83320a82-60e2-5d2e-96ce-9fb3e84d27bb,447191,Exclusion Mage,2,0.13,uncommon,"When Exclusion Mage enters the battlefield, return target creature an opponent controls to its owner's hand.",M19,"Human,Wizard",2,Creature
56,Steven Belledin,31699,U,6,"""Reel it in. No, wait! Throw it back!""
â€”Gertrude, deep-sea angler",,{4}{U}{U},6,9efdf823-a734-51bf-9383-1beb071f9cfb,447192,Frilled Sea Serpent,4,0.01,common,{5}{U}{U}: Frilled Sea Serpent can't be blocked this turn.,M19,Serpent,6,Creature
57,Deruchenko Alexander,31700,U,1,Young artificers on Kaladesh let their imaginations run wild.,,{U},1,a0cc2283-c50a-5eb7-ba58-ca2bb0c953cb,447193,Gearsmith Prodigy,1,0.01,common,Gearsmith Prodigy gets +1/+0 as long as you control an artifact.,M19,"Human,Artificer",2,Creature
58,Scott Chou,31701,U,2,"""Picking locks is for beginners.""",,{1}{U},2,9c39753c-7327-55eb-8fd1-82442e0905d9,447194,Ghostform,,0.01,common,Up to two target creatures can't be blocked this turn.,M19,,,Sorcery
59,Karl Kopinski,31702,U,6,,,{5}{U},6,c65dc409-8bdb-5737-95fe-a0d52de10073,447195,Horizon Scholar,4,0.08,uncommon,"Flying
When Horizon Scholar enters the battlefield, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",M19,Sphinx,4,Creature
60,Livia Prima,31703,U,2,,,{1}{U},2,61bbbc40-bc59-56b8-b454-ef598933eff8,447196,Metamorphic Alteration,,0.22,rare,"Enchant creature
As Metamorphic Alteration enters the battlefield, choose a creature.
Enchanted creature is a copy of the chosen creature.",M19,Aura,,Enchantment
61,Randy Vargas,31704,U,3,The life of a shapeshifter is one of constant change.,,{2}{U},3,7d34614d-8619-5bc2-b124-a1654ff6c39d,447197,Mirror Image,0,0.46,uncommon,You may have Mirror Image enter the battlefield as a copy of a creature you control.,M19,Shapeshifter,0,Creature
62,Ryan Yee,31705,U,1,Hospitality is of little concern to those who do not wish to be disturbed.,,{U},1,ecd5bda4-2b5e-59ec-bfcf-af7146ae5a61,447198,Mistcaller,1,0.20,rare,"Sacrifice Mistcaller: Until end of turn, if a nontoken creature would enter the battlefield and it wasn't cast, exile it instead.",M19,"Merfolk,Wizard",1,Creature
63,Eric Deschamps,31706,U,2,The delight of discovery drives the pursuit of knowledge.,,{1}{U},2,28437cb0-6634-505a-815e-a7e5035c5674,447199,Mystic Archaeologist,2,0.09,rare,{3}{U}{U}: Draw two cards.,M19,"Human,Wizard",1,Creature
64,Dallas Williams,31707,U,2,Her prophecies amaze her even as she speaks them.,,{1}{U},2,2b8630cd-5a7f-5905-9ff9-f92a53c6c283,447200,Omenspeaker,1,0.06,common,"When Omenspeaker enters the battlefield, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",M19,"Human,Wizard",3,Creature
65,Jason Chan,31708,U,10,"""The things I once imagined would be my greatest achievements were only the first steps toward a future I can only begin to fathom.""
â€”Jace Beleren",,{7}{U}{U}{U},10,fb04cfee-152f-5c33-a938-bd20db88ff23,447201,Omniscience,,13.43,mythic,You may cast spells from your hand without paying their mana costs.,M19,,,Enchantment
66,Chase Stone,31709,U,4,"""When I grafted the Planar Bridge into myself, I felt my Planeswalker spark flare beyond my body. The Multiverse was my plaything. It felt . . . incredible.""
â€”Tezzeret",,{3}{U},4,b0ef7fe8-8433-5b1f-be87-fe5f786c8ede,447202,One with the Machine,,0.32,rare,Draw cards equal to the highest mana value among artifacts you control.,M19,,,Sorcery
67,Magali Villeneuve,31710,U,5,Nicol Bolas would not rest until he was restored to his former glory.,,{3}{U}{U},5,65a89059-85ff-5f47-937c-8bf43a2e2f50,447203,Patient Rebuilding,,0.47,rare,"At the beginning of your upkeep, target opponent mills three cards, then you draw a card for each land card put into their graveyard this way.",M19,,,Enchantment
68,Bastien L. Deharme,31711,U,3,"""To break another's mind is to deliver a fate worse than death. It is a terrifying power.""
â€”Jace Beleren",,{2}{U},3,256c1dab-0d6f-5134-b4f6-35ea7d975376,447204,Psychic Corrosion,,2.28,uncommon,"Whenever you draw a card, each opponent mills two cards.",M19,,,Enchantment
69,Adam Paquette,31712,U,3,"""Industry without artistry is just a fancy way to fill the junkyard.""",,{2}{U},3,b37329f5-9fd2-538e-bdbf-c15787a8f6ba,447205,"Sai, Master Thopterist",1,3.31,rare,"Whenever you cast an artifact spell, create a 1/1 colorless Thopter artifact creature token with flying.
{1}{U}, Sacrifice two artifacts: Draw a card.",M19,"Human,Artificer",4,Creature
70,Lars Grant-West,31713,U,5,The greatest treasure of the deep is an echo from above.,,{3}{U}{U},5,3cc87011-3a60-558f-9422-a24c764fc5e4,447206,Salvager of Secrets,2,0.13,common,"When Salvager of Secrets enters the battlefield, return target instant or sorcery card from your graveyard to your hand.",M19,"Merfolk,Wizard",2,Creature
71,Tommy Arnold,31714,U,4,"""The path of the stars is as reliable as the instruments that measure them.""",,{3}{U},4,7d9bcfb8-e29c-5143-b9c7-d2ba86fc6cb5,447207,Scholar of Stars,3,0.02,common,"When Scholar of Stars enters the battlefield, if you control an artifact, draw a card.",M19,"Human,Artificer",2,Creature
72,Jeremy Jarvis,31715,U,4,Dwell longest on the thoughts that shine brightest.,,{3}{U},4,df9bb25a-83d0-538f-b436-ed2f911be7f1,447208,Sift,,0.05,uncommon,"Draw three cards, then discard a card.",M19,,,Sorcery
73,Jason A. Engle,31716,U,3,,,{2}{U},3,00e51520-f020-51dc-98e3-35fcfde28150,447209,Skilled Animator,1,0.07,uncommon,"When Skilled Animator enters the battlefield, target artifact you control becomes an artifact creature with base power and toughness 5/5 for as long as Skilled Animator remains on the battlefield.",M19,"Human,Artificer",3,Creature
74,Chris Rahn,31717,U,4,"""I give them dreams so wondrous that they hesitate to return to the world of the conscious.""
â€”Garild, merfolk mage",,{2}{U}{U},4,0513833e-7956-5ccd-ba14-1bde5b50d86f,447210,Sleep,,0.18,uncommon,Tap all creatures target player controls. Those creatures don't untap during that player's next untap step.,M19,,,Sorcery
75,Todd Lockwood,31718,U,4,"Foul-tempered, poorly trained, and mule-stubborn, the drake is the perfect test of the master's will.",,{3}{U},4,358b497f-8772-560f-902a-dd7777311203,447211,Snapping Drake,3,0.02,common,Flying (This creature can't be blocked except by creatures with flying or reach.),M19,Drake,2,Creature
76,Robbie Trevino,31719,U,2,A king's knowledge does not vanish when the heart stops beating.,,{1}{U},2,c43d90fa-8c3f-5b21-9c97-38385521a89a,447212,Supreme Phantom,1,0.25,rare,"Flying
Other Spirits you control get +1/+1.",M19,Spirit,3,Creature
77,Sam Rowan,31720,U,2,"When it passes, waves touch the sky.",,{U}{U},2,629db29e-baa9-5bd2-b247-fbbf8e7b594c,447213,Surge Mare,0,0.06,uncommon,"Surge Mare can't be blocked by green creatures.
Whenever Surge Mare deals damage to an opponent, you may draw a card. If you do, discard a card.
{1}{U}: Surge Mare gets +2/-2 until end of turn.",M19,"Horse,Fish",5,Creature
78,Kev Walker,31721,U,5,Say hello to your new friend.,,{4}{U},5,74c6e359-0227-5985-aa55-d6701701a7b4,447214,Switcheroo,,0.07,uncommon,Exchange control of two target creatures.,M19,,,Sorcery
79,Josh Hass,31722,U,5,,5,{3}{U}{U},5,d6b0cca8-6cce-515d-bf83-8e63b4c47b31,447215,"Tezzeret, Artifice Master",,8.86,mythic,"[+1]: Create a 1/1 colorless Thopter artifact creature token with flying.
[0]: Draw a card. If you control three or more artifacts, draw two cards instead.
[âˆ’9]: You get an emblem with ""At the beginning of your end step, search your library for a permanent card, put it onto the battlefield, then shuffle.""",M19,Tezzeret,,Planeswalker
80,Sara Winters,31723,U,3,The Tolarian Academies embrace a tradition of study and research while discouraging the kinds of experiments that ruined the original island of Tolaria.,,{2}{U},3,e97247ff-9e7c-574d-b107-5fd455368546,447216,Tolarian Scholar,2,0.01,common,,M19,"Human,Wizard",3,Creature
81,David Palumbo,31724,U,5,Fblthp had always hated crowds.,,{4}{U},5,32d393c1-615c-58e8-8f95-a5a86ddd8c8b,447217,Totally Lost,,0.02,common,Put target nonland permanent on top of its owner's library.,M19,,,Instant
82,Izzy,31725,U,3,The cold slowed their movements until only their panicked eyeballs swiveled beneath the ice.,,{2}{U},3,57af9759-2d41-5d7f-a4d4-3f552454b3de,447218,Uncomfortable Chill,,0.01,common,"Creatures your opponents control get -2/-0 until end of turn.
Draw a card.",M19,,,Instant
83,Dimitar Marinski,31726,U,2,The seafloor is flecked with the bones of fools who dared to sail into the mist.,,{1}{U},2,d3238e9b-6343-5399-a4f4-77353a27407e,447219,Wall of Mist,0,0.04,common,Defender,M19,Wall,5,Creature
84,Min Yum,31727,U,7,"""Your mind is too filled with foolish concerns to hear the subtle whispers that the breeze brings.""",,{5}{U}{U},7,199cfdb6-8451-5079-afb5-5759a36db0a7,447220,Windreader Sphinx,3,0.28,rare,"Flying
Whenever a creature with flying attacks, you may draw a card.",M19,Sphinx,7,Creature
85,Tomasz Jedruszek,31728,B,2,Tenacity prevails when hopes die.,,{1}{B},2,85c09af2-ef8b-5625-817c-574dbeedf89f,447221,Abnormal Endurance,,0.11,common,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control.""",M19,,,Instant
86,Filip Burburan,31729,B,4,Predicting the future is a messy business.,,{3}{B},4,6b3dd0aa-b87b-525a-aa84-799ef4dbcfea,447222,Blood Divination,,0.13,uncommon,"As an additional cost to cast this spell, sacrifice a creature.
Draw three cards.",M19,,,Sorcery
87,Jason Felix,31730,B,6,"""They are gentle herbivores, despite their size. Approach cautiously, and hum a tune to let them know you mean no harm.""
â€”Vivien Reid",,{4}{B}{B},6,88415bb9-e70a-59a1-abca-fc7e98a1739f,447223,Bogstomper,6,0.01,common,,M19,Beast,5,Creature
88,Jason A. Engle,31731,B,5,Its roar is the clatter of a thousand bones.,,{3}{B}{B},5,96ce29f2-661f-5cb9-a796-74bf8102b3c6,447224,Bone Dragon,5,0.53,mythic,"Flying
{3}{B}{B}, Exile seven other cards from your graveyard: Return Bone Dragon from your graveyard to the battlefield tapped.",M19,"Dragon,Skeleton",4,Creature
89,Ash Wood,31732,B,2,Sins that would be too gruesome in the light of day are made more pleasing in the dark of night.,,{1}{B},2,b73c1005-a037-5da5-bb30-a696f8f53625,447225,Child of Night,2,0.01,common,Lifelink,M19,Vampire,1,Creature
